Timestep: 0-0, Program time: 3.0994415283203125e-06 s, Sim. time: 0 TU, Active/Total Cells: 1357/2197, Max key %: 1.1904539853890839e-14%
Timestep: 0-10, Program time: 4.085469007492065 s, Sim. time: 0.01377199706621468 TU, Active/Total Cells: 1211/2644, Max key %: 4.955888130431241e-14%
Timestep: 0-20, Program time: 10.124432802200317 s, Sim. time: 0.029074216028675437 TU, Active/Total Cells: 1074/3163, Max key %: 1.0644696929462683e-13%
Timestep: 0-30, Program time: 16.33002281188965 s, Sim. time: 0.046623566653579473 TU, Active/Total Cells: 961/1628, Max key %: 2.742001504324465e-13%
Timestep: 0-40, Program time: 20.911208868026733 s, Sim. time: 0.06637730414513499 TU, Active/Total Cells: 901/2241, Max key %: 5.623322987813317e-13%
Timestep: 0-50, Program time: 27.239348888397217 s, Sim. time: 0.08549804310314357 TU, Active/Total Cells: 849/2817, Max key %: 8.065596801554165e-13%
Timestep: 0-60, Program time: 30.95274806022644 s, Sim. time: 0.10455294593703002 TU, Active/Total Cells: 833/1661, Max key %: 1.112169167524768e-12%
Timestep: 0-70, Program time: 34.99576711654663 s, Sim. time: 0.12360056478064507 TU, Active/Total Cells: 815/2195, Max key %: 1.3515501651878425e-12%
Timestep: 0-80, Program time: 39.1344518661499 s, Sim. time: 0.14416155579965562 TU, Active/Total Cells: 823/1415, Max key %: 1.620475672051147e-12%
Timestep: 0-90, Program time: 42.29805111885071 s, Sim. time: 0.1669926050817594 TU, Active/Total Cells: 841/2018, Max key %: 1.7676344329226046e-12%
Timestep: 0-100, Program time: 46.612250089645386 s, Sim. time: 0.18982365436386317 TU, Active/Total Cells: 836/2583, Max key %: 1.7676452749443294e-12%
Timestep: 0-104, Program time: 47.988322019577026 s, Sim. time: 0.2 TU, Active/Total Cells: 812/1322, Max key %: 1.764685403013444e-12%
Timestep: 0-110, Program time: 49.588194131851196 s, Sim. time: 0.21880877697840334 TU, Active/Total Cells: 822/1737, Max key %: 1.764685403013444e-12%
Timestep: 0-120, Program time: 53.12261986732483 s, Sim. time: 0.25015673860907556 TU, Active/Total Cells: 793/2412, Max key %: 1.764685403013444e-12%
Timestep: 0-130, Program time: 56.82497501373291 s, Sim. time: 0.2842326912097633 TU, Active/Total Cells: 768/1362, Max key %: 1.6476566205153587e-12%
Timestep: 0-140, Program time: 59.78016209602356 s, Sim. time: 0.32240063026547433 TU, Active/Total Cells: 739/2025, Max key %: 2.1261258812549366e-12%
Timestep: 0-150, Program time: 64.16719484329224 s, Sim. time: 0.36056856932118536 TU, Active/Total Cells: 752/2637, Max key %: 2.691266263663006e-12%
Timestep: 0-158, Program time: 66.86221480369568 s, Sim. time: 0.4 TU, Active/Total Cells: 752/1646, Max key %: 3.581472141425679e-12%
Timestep: 0-160, Program time: 67.58829689025879 s, Sim. time: 0.410810811072588 TU, Active/Total Cells: 758/1774, Max key %: 3.5870232565488047e-12%
Timestep: 0-170, Program time: 72.34996104240417 s, Sim. time: 0.4648648664355278 TU, Active/Total Cells: 821/2479, Max key %: 4.663917906391757e-12%
Timestep: 0-180, Program time: 78.08715176582336 s, Sim. time: 0.5251249937340617 TU, Active/Total Cells: 979/1830, Max key %: 5.938636084626414e-12%
Timestep: 0-190, Program time: 83.92001104354858 s, Sim. time: 0.5810634005814791 TU, Active/Total Cells: 1243/2863, Max key %: 7.426725250406219e-12%
Timestep: 0-195, Program time: 87.82814383506775 s, Sim. time: 0.6000000000000001 TU, Active/Total Cells: 1366/3319, Max key %: 7.83581641412845e-12%
Timestep: 0-200, Program time: 92.29924702644348 s, Sim. time: 0.6190899826120586 TU, Active/Total Cells: 1504/3678, Max key %: 8.258535999158823e-12%
Timestep: 0-210, Program time: 100.25320196151733 s, Sim. time: 0.6521243808325381 TU, Active/Total Cells: 1757/3227, Max key %: 9.148047987531105e-12%
Timestep: 0-220, Program time: 109.56741976737976 s, Sim. time: 0.6803698480594904 TU, Active/Total Cells: 2018/4051, Max key %: 1.0098600558214321e-11%
Timestep: 0-230, Program time: 120.52448582649231 s, Sim. time: 0.705480510275811 TU, Active/Total Cells: 2278/3830, Max key %: 1.0600694584292358e-11%
Timestep: 0-240, Program time: 130.92350101470947 s, Sim. time: 0.7284259818494321 TU, Active/Total Cells: 2571/4692, Max key %: 1.111816259717624e-11%
Timestep: 0-250, Program time: 143.49847292900085 s, Sim. time: 0.7497565971221776 TU, Active/Total Cells: 2861/5531, Max key %: 1.1652143009147076e-11%
Timestep: 0-260, Program time: 156.10620498657227 s, Sim. time: 0.7699257958680392 TU, Active/Total Cells: 3151/5435, Max key %: 1.2201844352618951e-11%
Timestep: 0-270, Program time: 169.91083192825317 s, Sim. time: 0.7890590285183863 TU, Active/Total Cells: 3440/6326, Max key %: 1.2768589354242299e-11%
Timestep: 0-276, Program time: 180.4302110671997 s, Sim. time: 0.8 TU, Active/Total Cells: 3660/5788, Max key %: 1.3350502344258719e-11%
Timestep: 0-280, Program time: 185.91710495948792 s, Sim. time: 0.8072449236176908 TU, Active/Total Cells: 3749/6168, Max key %: 1.335157570440948e-11%
Timestep: 0-290, Program time: 201.30118989944458 s, Sim. time: 0.8247339141787962 TU, Active/Total Cells: 4050/7155, Max key %: 1.3953188647899961e-11%
Timestep: 0-300, Program time: 219.2473509311676 s, Sim. time: 0.8416127598145977 TU, Active/Total Cells: 4371/8135, Max key %: 1.4571552514955344e-11%
Timestep: 0-310, Program time: 237.9131782054901 s, Sim. time: 0.85798557784874 TU, Active/Total Cells: 4652/7914, Max key %: 1.5209074234398545e-11%
Timestep: 0-320, Program time: 257.58857798576355 s, Sim. time: 0.8737931678304449 TU, Active/Total Cells: 4957/8964, Max key %: 1.5212359366981176e-11%
Timestep: 0-330, Program time: 280.0869629383087 s, Sim. time: 0.8892081581987441 TU, Active/Total Cells: 5258/8581, Max key %: 1.5866014014750962e-11%
Timestep: 0-340, Program time: 301.37684774398804 s, Sim. time: 0.9041848208988086 TU, Active/Total Cells: 5517/9637, Max key %: 1.653941198408171e-11%
Timestep: 0-350, Program time: 326.8068678379059 s, Sim. time: 0.9188760800287128 TU, Active/Total Cells: 5819/10797, Max key %: 1.7232748431364464e-11%
Timestep: 0-360, Program time: 352.97746086120605 s, Sim. time: 0.933118610479869 TU, Active/Total Cells: 6018/10263, Max key %: 1.7233821791515225e-11%
Timestep: 0-370, Program time: 379.8069717884064 s, Sim. time: 0.9471829074434936 TU, Active/Total Cells: 6306/11439, Max key %: 1.7945210204969864e-11%
Timestep: 0-380, Program time: 409.9918200969696 s, Sim. time: 0.9608789064921439 TU, Active/Total Cells: 6581/10832, Max key %: 1.794734608324966e-11%
Timestep: 0-390, Program time: 438.12400007247925 s, Sim. time: 0.9742183228489012 TU, Active/Total Cells: 6841/12034, Max key %: 1.8678130873570065e-11%
Timestep: 0-400, Program time: 469.7102019786835 s, Sim. time: 0.9872112834826112 TU, Active/Total Cells: 7107/13177, Max key %: 1.9428550565234182e-11%
Timestep: 0-410, Program time: 501.48726987838745 s, Sim. time: 0.9999157988466323 TU, Active/Total Cells: 7301/12498, Max key %: 1.9429623925384942e-11%
Timestep: 0-411, Program time: 504.54542207717896 s, Sim. time: 1.0 TU, Active/Total Cells: 7299/12645, Max key %: 1.9429623925384942e-11%
